"","Organoids"
"1","hF2"
"2","hF23"
"3","hF24"
"4","hF27"
"5","hF28"
"6","hF3"
"7","hF31"
"8","hF32"
"9","hF34"
"10","hF37"
"11","hF39"
"12","hF40"
"13","hF41"
"14","hF42"
"15","hF43"
"16","hF44"
"17","hF45"
"18","hF50"
"19","hF54"
"20","hF57"
"21","hF62"
"22","hF68"
"23","hF70"
"24","hF71"
"25","hF72"
"26","hF74"
"27","hF77"
"28","hF78"
"29","hF81"
"30","hF82"
"31","hM17D"
"32","hM19A"
"33","hM19B"
"34","hM19C"
"35","hM19D"
"36","hM1A"
"37","hM1E"
"38","hM1F"
"39","hM8"
"40","hN30"
"41","hN31"
"42","hN32"
"43","hN33"
"44","hN34"
"45","hN35"
"46","hN36"
"47","hN37"
"48","hN38"
"49","hN39"
"50","hN40"
"51","hT1"
"52","hT101"
"53","hT102"
"54","hT103"
"55","hT104"
"56","hT105"
"57","hT106"
"58","hT108"
"59","hT119"
"60","hT120"
"61","hT122"
"62","hT123"
"63","hT125"
"64","hT126"
"65","hT127"
"66","hT133"
"67","hT134"
"68","hT25"
"69","hT3"
"70","hT30"
"71","hT44"
"72","hT48"
"73","hT58"
"74","hT60"
"75","hT64"
"76","hT65"
"77","hT70"
"78","hT72"
"79","hT73"
"80","hT77"
"81","hT79"
"82","hT80"
"83","hT81"
"84","hT82"
"85","hT83"
"86","hT84"
"87","hT85"
"88","hT87"
"89","hT88"
"90","hT89"
"91","hT91"
"92","hT93"
"93","hT94"
"94","hT95"
"95","hT96"
"96","hT98"
